id,desc,source,lat,lon,type_cd,n_samples,n_tds,n_cond,n_ion_samples,n_iso_samples,tds_min,tds_max,tds_mean,date_oldest,date_newest
5302106,Hoppy & Melanie Turman,TWDB,30.97,-102.87,GW,2,2,2,2,0,1860.0,2890.0,2375.0,1993-04-19,1998-09-16
5302405,Fisher Powell,TWDB,30.92,-102.85,GW,1,1,1,1,0,3699.0,3699.0,3699.0,1969-06-12,1969-06-12
5302406,W. R. Binion,TWDB,30.92,-102.86,GW,2,2,2,2,0,1388.0,1409.0,1398.5,1969-06-12,1970-08-27
5302407,Robert Cross,TWDB,30.95,-102.86,GW,1,1,1,1,0,2959.0,2959.0,2959.0,1969-06-12,1969-06-12
5302408,Mr. Hillgum,TWDB,30.94,-102.86,GW,2,2,2,2,0,1632.0,3153.0,2392.5,1969-06-10,1970-08-28
5302409,Mr. Hillgum,TWDB,30.94,-102.86,GW,1,1,1,1,0,2746.0,2746.0,2746.0,1969-06-10,1969-06-10
5302410,Ralph Meaders,TWDB,30.95,-102.86,GW,2,2,2,2,0,3344.0,3482.0,3413.0,1969-06-10,1970-08-28
5302411,Mr. Andrews,TWDB,30.95,-102.86,GW,4,4,4,4,0,3741.0,5298.0,4781.5,1969-06-10,1970-08-28
5302412,Joe Sullivan,TWDB,30.94,-102.86,GW,2,2,2,2,0,1553.0,1865.0,1709.0,1969-06-11,1970-08-28
5302415,Robert Cross,TWDB,30.95,-102.86,GW,1,1,1,1,0,2771.0,2771.0,2771.0,1970-08-28,1970-08-28
5302416,Ed Hall,TWDB,30.93,-102.86,GW,2,2,2,2,0,1688.0,1702.0,1695.0,1969-06-10,1970-08-28
5302417,C.E. McIntyre,TWDB,30.94,-102.86,GW,1,1,1,1,0,2046.0,2046.0,2046.0,1969-06-11,1969-06-11
5302420,Harper Caldwell,TWDB,30.92,-102.85,GW,1,1,1,1,0,1946.0,1946.0,1946.0,1993-04-15,1993-04-15
5302421,Refugio (Cuco) Rangel ,TWDB,30.93,-102.84,GW,3,2,2,2,0,1996.0,2058.0,2027.0,2003-04-05,2007-07-02
5302703,Burney Ligon,TWDB,30.89,-102.84,GW,3,3,3,3,0,2214.0,3296.0,2861.3,1973-05-03,1979-07-12
5302709,City of Fort Stockton ,TWDB,30.87,-102.84,GW,3,3,3,3,0,1431.0,1447.0,1437.7,1975-04-15,1985-06-06
5302711,Pecos County,TWDB,30.88,-102.87,GW,1,1,1,1,0,1475.0,1475.0,1475.0,2010-05-10,2010-05-10
5302803,KOA Campground,TWDB,30.89,-102.81,GW,5,4,4,4,0,1335.0,1456.0,1393.0,1993-04-15,2007-08-21
2758501,Ratcliff & Bedford,TWDB,32.08,-102.82,GW,1,1,1,1,0,943.0,943.0,943.0,1957-02-12,1957-02-12
5302804,Ricky Young,TWDB,30.9,-102.81,GW,2,2,2,2,0,2469.0,2946.0,2707.5,1999-03-15,2004-10-12
4525604,City of Monahans,TWDB,31.57,-102.91,GW,8,8,6,8,0,233.0,827.0,453.0,1956-05-25,1972-05-16
5303901,Texas Department of Transportation,TWDB,30.87,-102.64,GW,2,2,2,2,0,1328.0,1334.0,1331.0,1993-05-24,1998-10-06
5305903,University of Texas Lands,TWDB,30.89,-102.37,GW,2,2,2,2,0,1824.0,1855.0,1839.5,1993-05-19,1998-10-09
5306402,University of Texas Lands,TWDB,30.92,-102.35,GW,2,2,2,2,0,1904.0,1999.0,1951.5,1993-05-19,1998-10-09
5306703,University of Texas,TWDB,30.9,-102.37,GW,3,2,2,2,0,1770.0,2171.0,1970.5,1993-05-19,2003-04-07
5306804,Roger Wolfe,TWDB,30.89,-102.29,GW,1,1,1,1,0,573.0,573.0,573.0,2010-05-12,2010-05-12
5306805,Gregg McKenzie,TWDB,30.89,-102.29,GW,1,1,1,1,0,561.0,561.0,561.0,2010-05-12,2010-05-12
5306806,"Don Knaupper, Sr.",TWDB,30.89,-102.31,GW,1,1,1,1,0,830.0,830.0,830.0,2010-05-12,2010-05-12
5307104,Upton County Water,TWDB,30.97,-102.22,GW,3,3,3,3,0,914.0,1143.0,1017.0,1993-04-22,2004-10-12
5308104,City of McCamey,TWDB,30.95,-102.09,GW,3,2,2,2,0,1895.0,2521.0,2208.0,1998-10-15,2003-05-23
5308301,Nolke Estate,TWDB,30.99,-102.01,GW,1,1,1,1,0,3676.0,3676.0,3676.0,1962-12-06,1962-12-06
5308403,City of McCamey,TWDB,30.95,-102.09,GW,1,1,1,1,0,430.0,430.0,430.0,2004-10-12,2004-10-12
5308405,City of McCamey,TWDB,30.95,-102.09,GW,2,2,2,2,0,662.0,1564.0,1113.0,1993-04-22,2004-10-12
5308408,City of McCamey,TWDB,30.95,-102.08,GW,1,1,1,1,0,378.0,378.0,378.0,1987-03-25,1987-03-25
5308601,City of Iraan,TWDB,30.95,-102.03,GW,4,3,3,3,0,516.0,594.0,562.3,1993-04-22,2003-05-23
5308602,City of Iraan,TWDB,30.95,-102.03,GW,1,1,1,1,0,363.0,363.0,363.0,2004-10-13,2004-10-13
5308603,City of Iraan,TWDB,30.95,-102.03,GW,1,1,1,1,0,353.0,353.0,353.0,2004-10-13,2004-10-13
4525605,City of Monahans,TWDB,31.57,-102.91,GW,8,8,6,8,0,255.0,1069.0,654.6,1956-06-01,1972-05-16
5309108,Alex Gonzales,TWDB,30.85,-102.99,GW,1,1,1,1,0,957.0,957.0,957.0,2010-05-11,2010-05-11
5309306,"M.R. Gonzalez, Jr.",TWDB,30.87,-102.88,GW,1,1,1,1,0,1899.0,1899.0,1899.0,2007-04-10,2007-04-10
5309307,Doug May,TWDB,30.84,-102.89,GW,1,1,1,1,0,1274.0,1274.0,1274.0,2010-05-10,2010-05-10
5310101,Bill McAnally,TWDB,30.86,-102.86,GW,1,1,1,1,0,1275.0,1275.0,1275.0,2007-04-10,2007-04-10
5310103,JEFF B. WADE,TWDB,30.84,-102.84,GW,1,1,1,1,0,1338.0,1338.0,1338.0,1946-10-18,1946-10-18
5310105,Mesa View Water,TWDB,30.86,-102.87,GW,1,1,1,1,0,1429.0,1429.0,1429.0,1993-05-27,1993-05-27
5310106,Joe Madrid  /Vasquez,TWDB,30.86,-102.87,GW,1,1,1,1,0,1372.0,1372.0,1372.0,1998-10-10,1998-10-10
5310502,Jeff B. Wade,TWDB,30.8,-102.82,GW,1,0,1,1,0,,,,1950-01-13,1950-01-13
